	JPM
2011-01-05	42.85
2011-01-06	42.64
2011-01-07	41.83
2011-01-10	41.6
2011-01-11	41.79
2011-01-12	42.86
2011-01-13	42.61
2011-01-14	43.05
2011-01-18	42.9
2011-01-19	41.9
2011-01-20	42.9
2011-01-21	43.41
2011-01-24	43.16
2011-01-25	43.01
2011-01-26	43.12
2011-01-27	43.23
2011-01-28	42.7
2011-01-31	43.08
2011-02-01	44.03
2011-02-02	43.57
2011-02-03	43.58
2011-02-04	42.74
2011-02-07	43.62
2011-02-08	43.85
2011-02-09	43.24
2011-02-10	43.64
2011-02-11	44.64
2011-02-14	44.61
2011-02-15	44.88
2011-02-16	45.95
2011-02-17	45.84
2011-02-18	46.01
2011-02-22	44.1
2011-02-23	44.06
2011-02-24	44.01
2011-02-25	44.75
2011-02-28	44.76
2011-03-01	43.71
2011-03-02	43.34
2011-03-03	44.17
2011-03-04	43.63
2011-03-07	43.32
2011-03-08	44.48
2011-03-09	44.63
2011-03-10	43.64
2011-03-11	43.85
2011-03-14	43.42
2011-03-15	42.76
2011-03-16	42.0
2011-03-17	42.71
2011-03-18	43.85
2011-03-21	43.74
2011-03-22	43.59
2011-03-23	43.71
2011-03-24	43.84
2011-03-25	43.96
2011-03-28	44.06
2011-03-29	44.11
2011-03-30	44.53
2011-03-31	44.19
2011-04-01	44.43
2011-04-04	44.66
2011-04-05	44.89
2011-04-06	45.91
2011-04-07	45.68
2011-04-08	45.14
2011-04-11	45.16
2011-04-12	44.95
2011-04-13	44.57
2011-04-14	43.34
2011-04-15	43.26
2011-04-18	42.37
2011-04-19	43.03
2011-04-20	42.95
2011-04-21	43.06
2011-04-25	42.99
2011-04-26	43.49
2011-04-27	43.85
2011-04-28	44.19
2011-04-29	43.98
2011-05-02	43.54
2011-05-03	44.26
2011-05-04	43.85
2011-05-05	43.53
2011-05-06	43.41
2011-05-09	43.33
2011-05-10	43.52
2011-05-11	42.63
2011-05-12	42.49
2011-05-13	41.59
2011-05-16	41.33
2011-05-17	42.22
2011-05-18	42.48
2011-05-19	42.41
2011-05-20	41.57
2011-05-23	41.01
2011-05-24	40.81
2011-05-25	40.74
2011-05-26	40.91
2011-05-27	41.24
2011-05-31	41.67
2011-06-01	40.25
2011-06-02	40.1
2011-06-03	40.06
2011-06-06	39.06
2011-06-07	39.25
2011-06-08	38.93
2011-06-09	39.5
2011-06-10	39.56
2011-06-13	40.16
2011-06-14	40.1
2011-06-15	39.21
2011-06-16	38.9
2011-06-17	39.32
2011-06-20	39.01
2011-06-21	39.43
2011-06-22	39.22
2011-06-23	38.62
2011-06-24	38.06
2011-06-27	38.44
2011-06-28	38.11
2011-06-29	38.98
2011-06-30	39.46
2011-07-01	40.32
2011-07-05	39.79
2011-07-06	39.33
2011-07-07	40.07
2011-07-08	39.51
2011-07-11	38.24
2011-07-12	38.2
2011-07-13	38.42
2011-07-14	39.13
2011-07-15	38.77
2011-07-18	38.62
2011-07-19	39.17
2011-07-20	39.72
2011-07-21	41.01
2011-07-22	40.91
2011-07-25	40.43
2011-07-26	40.18
2011-07-27	39.44
2011-07-28	39.45
2011-07-29	39.22
2011-08-01	39.21
2011-08-02	38.63
2011-08-03	38.69
2011-08-04	36.77
2011-08-05	36.46
2011-08-08	33.03
2011-08-09	35.3
2011-08-10	33.33
2011-08-11	35.58
2011-08-12	34.82
2011-08-15	35.76
2011-08-16	34.94
2011-08-17	35.46
2011-08-18	34.12
2011-08-19	33.31
2011-08-22	32.4
2011-08-23	33.73
2011-08-24	34.74
2011-08-25	34.64
2011-08-26	35.11
2011-08-29	36.5
2011-08-30	35.94
2011-08-31	36.42
2011-09-01	35.2
2011-09-02	33.58
2011-09-06	32.43
2011-09-07	33.77
2011-09-08	32.49
2011-09-09	31.11
2011-09-12	31.44
2011-09-13	31.51
2011-09-14	31.81
2011-09-15	32.79
2011-09-16	32.42
2011-09-19	31.51
2011-09-20	31.27
2011-09-21	29.42
2011-09-22	28.38
2011-09-23	28.69
2011-09-26	30.69
2011-09-27	30.61
2011-09-28	29.55
2011-09-29	30.44
2011-09-30	29.21
2011-10-03	27.78
2011-10-04	29.6
2011-10-05	30.17
2011-10-06	31.68
2011-10-07	30.03
2011-10-10	31.6
2011-10-11	31.6
2011-10-12	32.48
2011-10-13	30.91
2011-10-14	31.2
2011-10-17	30.36
2011-10-18	32.15
2011-10-19	31.55
2011-10-20	32.41
2011-10-21	32.69
2011-10-24	33.82
2011-10-25	32.76
2011-10-26	33.44
2011-10-27	36.21
2011-10-28	35.89
2011-10-31	34.0
2011-11-01	32.0
2011-11-02	32.91
2011-11-03	33.63
2011-11-04	33.23
2011-11-07	33.49
2011-11-08	34.26
2011-11-09	31.83
2011-11-10	32.03
2011-11-11	32.56
2011-11-14	31.84
2011-11-15	31.99
2011-11-16	30.79
2011-11-17	29.83
2011-11-18	29.95
2011-11-21	29.26
2011-11-22	28.77
2011-11-23	27.76
2011-11-25	27.86
2011-11-28	28.53
2011-11-29	27.94
2011-11-30	30.3
2011-12-01	29.8
2011-12-02	31.63
2011-12-05	32.78
2011-12-06	32.51
2011-12-07	33.26
2011-12-08	31.52
2011-12-09	32.46
2011-12-12	31.34
2011-12-13	30.61
2011-12-14	30.82
2011-12-15	31.07
2011-12-16	31.2
2011-12-19	30.03
2011-12-20	31.51
2011-12-21	31.62
2011-12-22	32.72
2011-12-23	32.84
2011-12-27	32.31
2011-12-28	31.94
2011-12-29	32.69
2011-12-30	32.53
