	MACD_Hist
2010-01-04	0.0
2010-01-05	0.05105413105413277
2010-01-06	0.09430105275119104
2010-01-07	0.1691013355309333
2010-01-08	0.20002165582240045
2010-01-11	0.19880937507271884
2010-01-12	0.1221842345984942
2010-01-13	0.11243466693808407
2010-01-14	0.12507276403675738
2010-01-15	0.06272706355467694
2010-01-19	-0.007115663222968638
2010-01-20	-0.04543288311097049
2010-01-21	-0.24375866519797107
2010-01-22	-0.4414396676873181
2010-01-25	-0.5399174402865231
2010-01-26	-0.6196013794273713
2010-01-27	-0.581084438384254
2010-01-28	-0.5144867296032672
2010-01-29	-0.47472674035379103
2010-02-01	-0.3774855565369051
2010-02-02	-0.2344135651193664
2010-02-03	-0.1416954657754601
2010-02-04	-0.18718395592302717
2010-02-05	-0.2016146520668045
2010-02-08	-0.22854810829167826
2010-02-09	-0.18288952217089505
2010-02-10	-0.10647183932885484
2010-02-11	-0.03495987333625439
2010-02-12	0.01640648017067381
2010-02-16	0.12516798799237638
2010-02-17	0.19371749528683568
2010-02-18	0.25791678877377733
2010-02-19	0.26884928035520994
2010-02-22	0.3192378013138619
2010-02-23	0.28122115827336625
2010-02-24	0.3078466611745042
2010-02-25	0.30077725104099157
2010-02-26	0.3654473693348343
2010-03-01	0.3821528385743903
2010-03-02	0.3625810266264454
2010-03-03	0.3274908518787597
2010-03-04	0.3137614370111657
2010-03-05	0.3434194274358101
2010-03-08	0.33028763608988204
2010-03-09	0.2928243429273356
2010-03-10	0.28352667574825696
2010-03-11	0.2757694457539524
2010-03-12	0.25152507517828515
2010-03-15	0.214453654547213
2010-03-16	0.186751465265939
2010-03-17	0.18828446119128173
2010-03-18	0.16551234615216803
2010-03-19	0.12577006765897503
2010-03-22	0.10590586868216179
2010-03-23	0.13312415990430182
2010-03-24	0.15940465043514962
2010-03-25	0.16102018114207217
2010-03-26	0.15119174298521432
2010-03-29	0.1203211872148775
2010-03-30	0.06994776934037106
2010-03-31	0.03791134009976893
2010-04-01	0.03683012090305682
2010-04-05	0.036616641154076146
2010-04-06	0.056658253692722926
2010-04-07	0.0269506583385396
2010-04-08	0.025631192589546714
2010-04-09	0.028713897008222355
2010-04-12	0.03049969133566477
2010-04-13	0.005144236122454293
2010-04-14	0.09428265580408468
