	BBP
2010-01-04	
2010-01-05	
2010-01-06	
2010-01-07	
2010-01-08	
2010-01-11	
2010-01-12	
2010-01-13	
2010-01-14	
2010-01-15	
2010-01-19	
2010-01-20	
2010-01-21	
2010-01-22	
2010-01-25	
2010-01-26	
2010-01-27	
2010-01-28	
2010-01-29	
2010-02-01	24.15284210421656
2010-02-02	35.113658002202314
2010-02-03	34.112116404496575
2010-02-04	17.68927201057954
2010-02-05	20.164861373096183
2010-02-08	17.310532602735496
2010-02-09	26.641535672002753
2010-02-10	33.7844534541784
2010-02-11	37.29631813400728
2010-02-12	38.157358243242506
2010-02-16	57.93988960067252
2010-02-17	62.356069571391636
2010-02-18	83.96547684285042
2010-02-19	74.0597064336412
2010-02-22	93.23711812310674
2010-02-23	64.2808515989425
2010-02-24	87.2319372959425
2010-02-25	78.61514219836195
2010-02-26	102.40428330399239
2010-03-01	92.64531299333485
2010-03-02	84.15986623074964
2010-03-03	80.18801768313888
2010-03-04	84.45754125872162
2010-03-05	94.52304647759809
2010-03-08	86.6479176497197
2010-03-09	81.63432881388701
2010-03-10	88.00718769131902
2010-03-11	88.92846197373345
2010-03-12	85.22209289524581
2010-03-15	81.61152597974935
2010-03-16	82.07727195953296
2010-03-17	89.34009142454687
2010-03-18	82.75201112423196
2010-03-19	76.70097600542539
2010-03-22	79.9985382257747
2010-03-23	96.6426186859284
2010-03-24	99.12659770934982
2010-03-25	95.61728546419604
2010-03-26	91.55399742056885
2010-03-29	84.18653564192485
2010-03-30	75.47670470286769
2010-03-31	77.99750485659015
2010-04-01	87.35077655708027
2010-04-05	87.26806401381964
2010-04-06	94.35662523216092
2010-04-07	79.08940301296042
2010-04-08	86.94617837412596
2010-04-09	88.33663356291808
2010-04-12	88.33611588447803
2010-04-13	78.96130675201178
2010-04-14	114.82733253810781
2010-04-15	105.34723124820604
2010-04-16	54.70854493382994
2010-04-19	48.4701749031896
2010-04-20	58.89094261472915
2010-04-21	43.05332716770657
2010-04-22	25.814514367069457
2010-04-23	31.635274570853728
2010-04-26	6.589647737131781
2010-04-27	-14.117946758518594
2010-04-28	11.497250390610695
2010-04-29	23.826130435361314
2010-04-30	3.486551009969299
2010-05-03	22.925164794527145
2010-05-04	10.427775731608271
2010-05-05	16.79979925855092
2010-05-06	-0.7566387059601551
2010-05-07	5.703324217298303
2010-05-10	23.47490879300771
2010-05-11	21.639165500600217
2010-05-12	25.044040906268833
2010-05-13	14.459738780087408
2010-05-14	6.630435035035004
2010-05-17	10.526707800148863
2010-05-18	4.107009861858154
2010-05-19	12.616491401751981
2010-05-20	-1.2360838096734974
2010-05-21	30.239973718463638
2010-05-24	13.522412997178272
2010-05-25	21.341190847413213
2010-05-26	21.73471029246822
2010-05-27	47.51655993608737
2010-05-28	36.0824112759741
2010-06-01	20.354083318724328
2010-06-02	40.62167994967804
2010-06-03	33.4396255569848
2010-06-04	7.476441261031893
2010-06-07	-0.9761517276608632
2010-06-08	20.609868061468877
2010-06-09	11.143334111086343
2010-06-10	36.08713899448776
2010-06-11	33.3744087211451
2010-06-14	18.254308277643478
2010-06-15	42.4289340138033
2010-06-16	49.70595762292865
2010-06-17	49.016603764499074
2010-06-18	66.40049364118788
2010-06-21	60.73076166948294
2010-06-22	45.91611292306111
2010-06-23	61.816106343046314
2010-06-24	38.839636369451625
2010-06-25	82.8196252362874
2010-06-28	56.8035133097197
2010-06-29	12.653663638893692
2010-06-30	4.326414928100248
2010-07-01	-1.0403324826421385
2010-07-02	0.5892763690021477
2010-07-06	14.272847067497693
2010-07-07	57.788698793187734
2010-07-08	56.815437034398045
2010-07-09	72.49340107058654
2010-07-12	78.32384692936117
2010-07-13	98.82920338320986
2010-07-14	90.47986256784964
2010-07-15	88.0907587264015
2010-07-16	61.221019212798865
2010-07-19	62.061185021892285
2010-07-20	71.58754269667487
2010-07-21	50.17435450186365
2010-07-22	65.91750677210113
2010-07-23	72.23498243643884
2010-07-26	79.11222688987903
2010-07-27	81.66792394770509
2010-07-28	73.43060036887213
2010-07-29	69.56587842830218
2010-07-30	69.18899021168957
2010-08-02	94.12546257477861
2010-08-03	83.47715950331092
2010-08-04	85.66513598809561
2010-08-05	82.83685743952589
2010-08-06	58.038642884765466
2010-08-09	38.66372329454476
2010-08-10	21.94719237826959
2010-08-11	-5.725487026259514
2010-08-12	3.5328029574405417
2010-08-13	2.7273817503142355
2010-08-16	10.56828764311617
2010-08-17	11.42724942944344
2010-08-18	19.888068938934925
2010-08-19	10.517034440502906
2010-08-20	15.79244909441145
2010-08-23	15.931850606697399
2010-08-24	11.224353024111187
2010-08-25	15.617926020401837
2010-08-26	12.4774188985478
2010-08-27	27.49143353936519
2010-08-30	20.0460795094618
2010-08-31	28.988938548863867
2010-09-01	51.868139084985565
2010-09-02	63.66488851658575
2010-09-03	89.25174010210281
2010-09-07	73.91997102621873
2010-09-08	95.2315106791091
2010-09-09	106.95829280274187
2010-09-10	93.44457745609405
2010-09-13	106.39955544724711
2010-09-14	93.19151214180711
2010-09-15	91.10062016869108
2010-09-16	86.67532294121877
2010-09-17	72.1820464953499
2010-09-20	82.91369446490278
2010-09-21	72.92602508036602
2010-09-22	63.02823550825393
2010-09-23	50.36538945243013
2010-09-24	57.15777366138557
2010-09-27	44.64647453822872
2010-09-28	38.08680303478423
2010-09-29	20.595265150667576
2010-09-30	10.845462698726143
2010-10-01	27.344393162476262
2010-10-04	32.39863332304488
2010-10-05	47.75724410427909
2010-10-06	53.631445090967034
2010-10-07	44.24413489231837
2010-10-08	39.217878866077385
2010-10-11	52.31651612521959
2010-10-12	72.0772871410173
2010-10-13	58.142281894234905
2010-10-14	25.445569781369002
2010-10-15	-9.60446274040862
2010-10-18	20.95344680049861
2010-10-19	9.888018211388076
2010-10-20	24.705292420026918
2010-10-21	16.635333876543488
2010-10-22	19.983819247878813
2010-10-25	8.465537993229049
2010-10-26	15.981953337078508
2010-10-27	25.75652263077363
2010-10-28	26.273489229274716
2010-10-29	30.58101413611951
2010-11-01	27.908835273243376
2010-11-02	20.657653113281476
2010-11-03	39.675529651015005
2010-11-04	88.19913029326595
2010-11-05	105.46030351584348
2010-11-08	93.61258392311699
2010-11-09	83.02701005114889
2010-11-10	94.58380703344869
2010-11-11	80.58363799184953
2010-11-12	70.83342272045695
2010-11-15	76.94430424097975
2010-11-16	66.74075237053074
2010-11-17	57.903595670158914
2010-11-18	64.88512373314101
2010-11-19	58.937424199509344
2010-11-22	40.61958057809324
2010-11-23	22.630162397876344
2010-11-24	32.10754190922876
2010-11-26	18.787628550728787
2010-11-29	26.46414533040241
2010-11-30	16.019036000658335
2010-12-01	28.8049796220407
2010-12-02	52.64756193350166
2010-12-03	59.85409003039537
2010-12-06	68.68629814856212
2010-12-07	54.58907570831612
